종목코드,종목명,종가,대비,등락률,상장시가총액
403550,쏘카,11670,-40,-0.34,383265
453340,현대그린푸드,15960,-140,-0.87,528843
456040,OCI,52600,-1000,-1.87,470901
460860,동국제강,9130,-180,-1.93,452921
95720,웅진씽크빅,1732,-60,-3.35,200056
96760,JW홀딩스,3245,-75,-2.26,239886
100250,진양홀딩스,3195,-15,-0.47,178585
101530,해태제과식품,6550,-120,-1.8,190715
102260,동성케미컬,4145,-30,-0.72,207983
102460,이연제약,10570,-150,-1.4,196463
104700,한국철강,9950,-20,-0.2,362678
105630,한세실업,9170,-130,-1.4,366800
105840,우진,10610,-480,-4.33,214297
107590,미원홀딩스,72000,-200,-0.28,167040
108670,LX하우시스,28000,-400,-1.41,251095
117580,대성에너지,7940,-80,-1,218350
120030,조선선재,103100,-2400,-2.27,129664
122900,아이마켓코리아,8200,-100,-1.2,274116
123690,한국화장품,9710,-290,-2.9,156020
123890,한국자산신탁,2385,-25,-1.04,291862
126560,현대퓨처넷,3200,-60,-1.84,352649
126720,수산인더스트리,22200,-100,-0.45,317149
128820,대성산업,4030,-95,-2.3,182299
134380,미원화학,81600,0,0,179460
136490,선진,11580,-30,-0.26,275368
138490,코오롱ENP,6590,-20,-0.3,250420
139990,아주스틸,3835,55,1.46,148627
194370,제이에스코퍼레이션,10060,-120,-1.18,291909
195870,해성디에스,21800,-650,-2.9,370600
200880,서연이화,11710,-20,-0.17,316503
210540,디와이파워,12200,-290,-2.32,134709
210980,SK디앤디,10010,-90,-0.89,186360
213500,한솔제지,8520,-50,-0.58,202781
214420,토니모리,10120,-180,-1.75,243435
226320,잇츠한불,12220,-230,-1.85,267976
234080,JW생명과학,11480,-60,-0.52,181781
244920,에이플러스에셋,7000,180,2.64,158254
267850,아시아나IDT,11430,-110,-0.95,126873
271980,제일약품,12840,-590,-4.39,188811
272550,삼양패키징,13130,-290,-2.16,201296
286940,롯데이노베이트,21050,-200,-0.94,318473
293480,하나제약,11840,-210,-1.74,210432
298000,효성화학,38900,0,0,147501
298690,에어부산,1977,-22,-1.1,230597
306200,세아제강,131700,-2000,-1.5,373541
317400,자이에스앤디,3375,-35,-1.03,130891
339770,교촌에프앤비,4790,-60,-1.24,239333
363280,티와이홀딩스,3130,-80,-2.49,157844
450140,코오롱모빌리티그룹,3980,5,0.13,249853
452260,한화갤러리아,1117,-10,-0.89,216541
460850,동국씨엠,5340,-60,-1.11,159659
462520,조선내화,13670,-30,-0.22,162060
475560,더본코리아,23800,-600,-2.46,351684
487570,HS효성,58000,-1400,-2.36,216104
14710,사조씨푸드,9120,-30,-0.33,157033
15230,대창단조,6180,-380,-5.79,176576
15860,일진홀딩스,5550,-290,-4.97,273879
15890,태경산업,5370,-70,-1.29,156958
16450,한세예스24홀딩스,3795,-25,-0.65,151800
16580,환인제약,10300,-280,-2.65,191581
16610,DB증권,8770,-50,-0.57,372255
16710,대성홀딩스,8510,-170,-1.96,136921
16880,웅진,4645,-120,-2.52,371261
17390,서울가스,62300,500,0.81,311500
17860,DS단석,20250,-550,-2.64,356080
18470,조일알미늄,1431,-31,-2.12,181210
19440,세아특수강,15800,-150,-0.94,135406
19680,대교,2260,15,0.67,191428
20000,한섬,14900,-160,-1.06,334322
20120,키다리스튜디오,3850,-40,-1.03,142695
